"Access denied.","Acesso negado."
"Can not find webservice adapter.","Can not find webservice adapter."
"Client Session Timeout (sec.)","Sessão Cliente Terminou (sec.)"
"Default Response Charset","Charset por Omissão na Resposta"
"Email","Email"
"Enable WSDL Cache","Can not find webservice adapter."
"General Settings","Opções Gerais"
"Invalid webservice adapter specified.","Invalid webservice adapter specified."
"Invalid webservice handler specified.","Invalid webservice handler specified."
"Magento Core API","Magento Core API"
"Magento Core API Section","Secção Magento Core API"
"SOAP/XML-RPC - Roles","Can not find webservice adapter."
"SOAP/XML-RPC - Users","Can not find webservice adapter."
"Unable to login.","Incapaz de iniciar sessão"
"User Name","Nome de Utilizador"
"WS-I Compliance","Conformidade WS-I"
"Web Services","Web Services"
"Your account has been deactivated.","A sua conta foi desactivada"