"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atenção</strong>: Captcha é sensível a maiúsculas e minúsculas"
"After number of attempts to login","Numero após tentativas de início de sessão"
"Always","Sempre"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","Tempo de vida CAPTCHA (minutos)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","A utilização de CAPTCHA nos formulários ""Criar Utilizador"" e ""Esqueci-me da palavra-passe"" está sempre ativa"
"Case Sensitive","Sensível a maiúsculas  e minúsculas"
"Displaying Mode","Modo de Apresentação"
"Enable CAPTCHA in Admin","Ativar CAPTCHA na admin"
"Enable CAPTCHA on Frontend","Ativar CAPTCHA na loja"
"Font","Tipo Letra"
"Forms","Formulários"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Se for especificado 0, O CAPTCHA no início de sessão estará sempre ativo."
"Incorrect CAPTCHA.","CAPTCHA Incorreta"
"Number of Symbols","Número de Símbolos"
"Number of Unsuccessful Attempts to Login","Número de Tentativas Falhadas de Início de Sessão"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Por favor especifique um máximo de 8 símbolos. Intervalos permitidos (ex: 3-5)"
"Please type the letters below","Por favor insira as letras abaixo"
"Please type the letters from the image:","Por favor insira as letras da imagem:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Por favor utilize apenas letras (a-z), números (0-9) ou Sublinhado _ neste campo. Não são permitidos espaços ou outros caracteres. <br> Caracteres com aparência similar (ex: ""i"",""l"",""1"") diminuem a possibilidade de um reconhecimento pelo cliente."
"Reload captcha","Recarregar captcha"
"Symbols Used in CAPTCHA","Símbolos Utilizados na CAPTCHA"