"Collected Files Count","Total Ficheiros Coletados"
"Compilation","Compilação"
"Compilation State","Estado Compilação"
"Compilation error","Erro Compilação"
"Compiled","Compilado"
"Compiled Scopes Count","Total de Âmbitos Compilados"
"Compiler Status","Estado Compilação"
"Compiler include path is disabled.","O include path do compilador está inativo"
"Compiler include path is enabled.","O include path do compilador está ativo."
"Directory ""%s"" must be writeable","O diretório ""%s"" tem que ter permissões de escrita."
"Disable","Desativar"
"Disabled","Inativo"
"Enable","Ativo"
"Enabled","Ativo"
"File ""%s"" must be writeable","O ficheiro ""%s"" tem que ter permissões de escrita"
"Not Compiled","Não Compilado"
"Run Compilation Process","Correr Processo de Compilação"
"Scopes Compilation Settings","Definições de Compilação de Âmbito"
"System","Sistema"
"The compilation has completed.","A compilação terminou"
"Tools","Ferramentas"