"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Actions XML is not valid.","Ações XML inválidas"
"An error occurred while opening file: ""%s"".","Ocorreu um erro ao abrir o ficheiro: ""%s""."
"Could not load file: ""%s"".","Não foi possível carregar o ficheiro ""%s""."
"Could not save file: %s.","Não foi possível guardar o ficheiro: ""%s""."
"Declared adapter %s was not found.","O adapter declarado não foi encontrado."
"Destination folder ""%s"" is not a directory.","A pasta de destino ""%s"" não é um diretório"
"Destination folder ""%s"" is not writable.","A pasta de destino ""%s"" não tem permissões de escrita."
"Done","Feito"
"Dry run set, stopping execution.","Execução em seco, a parar execução."
"ETA: %s","TRE: %s"
"Error in field mapping: field list for mapping is not defined.","Erro no mapeamento de campos: lista de campos para mapear não está definida."
"File ""%s"" does not exist.","O ficheiro ""%s"" não existe."
"Found %d rows.","Encontradas %s linhas."
"Less than a minute","Menos de um minutos"
"Loaded successfully: ""%s"".","Carregado com sucesso: ""%s""."
"Memory Used: %s","Memória Utilizada: %s"
"Method ""%s"" not defined in adapter %s.","Método ""%s"" não está definido no adapter %s."
"Method ""%s"" was not defined in adapter %s.","Método ""%s"" não foi definido no adapter %s."
"Please declare ""adapter"" and ""method"" nodes first.","Por favor declare os nós ""adapter"" e ""method"" primeiro"
"Processed records: %s","Registos processados: %s"
"Profile with the same name already exists.","Já existe um perfil com o mesmo nome."
"Saved successfully: ""%s"" [%d byte(s)].","Guardado com sucesso: ""%s"" [%d byte(s)]."
"Sheet 1","Folha 1"
"Skip undefined row.","Ignorando linha indefinida"
"Starting %s :: %s","Iniciando %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","A pasta de destino ""%s"" não existe ou não existe acesso para a criar."
"Total records: %s","Total de Registos: %s"
"hour","hora"
"hours","horas"
"minute","minuto"
"minutes","minutos"