"%s file does not exists or is not readable","O ficheiro %s não existe ou não foi possível ler"
"-- Please Select --","-- Por Favor Selecione --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","O objeto do Adaptador tem que ser uma instância de %s"
"Adapter type must be a non empty string","O tipo de adapter não pode ser vazio"
"Append Complex Data","Anexar Dados Complexos"
"Attribute Code","Código Atributo"
"Attribute Label","Título Atributo"
"Attribute does not has options, so filtering is impossible","O atributo não tem opções, pelo que a filtragem não é possível"
"Begin data validation","Iniciar validação dados"
"Begin export of %s","Iniciar exportação de %s"
"Begin import of ""%s"" with ""%s"" behavior","Iniciar importação de ""%s"" com comportamento ""%s"""
"CSV","CSV"
"Can not determine attribute filter type","Não foi possível determinar o tipo de atributo do filtro"
"Can not find required columns: %s","não foi possível encontrar colunas necessárias: %s"
"Cannot get autoincrement value","Não foi possível obter valor auto-incremento"
"Check Data","Verificar Dados"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Linhas verificadas: %d, entidades verificadas: %d, linhas inválidas: %d, total erros: %d"
"Column names have duplicates","Os nomes da colunas tem valores duplicados"
"Column names is empty or is not an array","Os nomes das colunas estão vazios ou não são uma matriz"
"Column names: ""%s"" are invalid","Nomes Colunas: ""%s"" é inválido"
"Customers","Clientes"
"Data is invalid or file is not uploaded","Dados inválidos ou ficheiro não carregado"
"Delete Entities","Remover Entidades"
"Destination directory is not writable","O diretório de destino não tem permissões de escrita"
"Destination file is not writable","O ficheiro de destino não tem permissões de escrita"
"Destination file path must be a string","O caminho do ficheiro de destino tem que ser texto"
"Done import data validation","Finalizada validação dados importar"
"Duplicate Unique Attribute for '%s'","Duplicação de Atributo Único para %s"
"Entity Type","Tipo Entidade"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Adaptador do objeto da entidade tem que ser uma instância de Mage_ImportExport_Model_Export_Entity_Abstract"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entity adapter object tem que ser uma instância de Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entidade desconhecida"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Erro na estrutura de dados. Comportamentos mistos"
"Error in data structure: entity codes are mixed","Erro na estrutura de dados. Códigos de entidades mistos"
"Errors limit (%d) reached. Please fix errors and re-upload file","Limite de erros atingido (%d). Por favor corrija os erros e carregue novamente o ficheiro."
"Export","Exportar"
"Export File Format","Formato Ficheiro Exportar"
"Export Settings","Definições Exportação"
"Export has been done.","Exportação terminada"
"Exported %s rows.","Exportadas %s linhas"
"File does not contain data.","O ficheiro não contém dados"
"File does not contain data. Please upload another one","O ficheiro não contém dados. Por favor carregue um novo"
"File format is unknown","Formato de ficheiro desconhecido"
"File is partially valid, but import is not possible","O ficheiro é parcialmente válido, mas a importação não é possível."
"File is totally invalid. Please fix errors and re-upload file","Ficheiro totalmente inválido. Por favor corrija os erros e re-carregue o ficheiro"
"File is valid! To start import process press ""Import"" button","Ficheiro válido. Para iniciar o processo de importação clique no botão ""Importar"""
"File is valid, but import is not possible","Ficheiro válido, mas a importação não é possível."
"File was not uploaded","Ficheiro não carregado"
"Filter","Filtro"
"From","De"
"Header column names already set","Cabeçalho com nomes de colunas já definido"
"Import","Importar"
"Import Behavior","Comportamento Importação"
"Import Settings","Definições Importação"
"Import has been done successfuly.","Importação finalizada com sucesso"
"Import successfully done.","Importação efetuada com sucesso"
"Import/Export","Importar/Exportar"
"Input entity code is not equal to entity adapter code","Input entity code is not equal to entity adapter code"
"Invalid entity","Entidade inválida"
"Invalid entity model","Invalid entity model"
"Invalid file format","Formato de ficheiro inválido"
"Invalid parameters","Parâmetros inválidos"
"Invalid seek position","Posição pedida inválida"
"Invalid value for '%s'","Valor inválido para '%s'"
"Invalid value for '%s' column","Valor inválido para a coluna %s"
"No filter data provided","Não foi providenciado nenhum filtro de dados"
"No source specified","Nenhuma fonte especificada"
"No valid data sent","Não foram enviados dados válidos"
"No writer specified","Não foi especificado nenhum writer"
"Node does not has model token tag","Node does not has model token tag"
"Not implemented yet","Ainda não implementado"
"Please fix errors and re-upload file","Por favor corrija os erros e re-envie o ficheiro"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Por favor corrija os erros e re-carregue o ficheiro ou clique em ""Importar"" para ignorar os registos com erros"
"Products","Produtos"
"Replace Existing Complex Data","Substituir Dados Complexos Existentes"
"Select File to Import","Selecione o Ficheiro a Importar"
"Skip","Ignorar"
"Source file moving failed","Falha ao mover o ficheiro de origem"
"Source file path must be a string","O caminho do ficheiro de origem deve ser texto"
"Source is not set","Origem não definida"
"Status","Estado"
"There are no product types available for export","Não existem tipos de produtos disponíveis para exportação"
"There is no data for export","Não existem dados para exportar"
"To","Até"
"Total size of uploadable files must not exceed %s","O total dos ficheiros carregados não pode exceder %s"
"Unknown attribute filter type","Tipo de atributo de filtro desconhecido"
"Uploaded file has no extension","O ficheiro carregado não tem extensão"
"Validation finished successfully","Validação finalizada com sucesso"
"in rows","em linhas"
"in rows:","em linhas:"