"""Remember Me"" Default Value","Valor por Omissão para ""Lembrar-me"""
"(Not %s?)","(Não é %s?)"
"* Required Fields","* Campos obrigatórios"
"Address","Endereço"
"Address Information","Informação de endereço"
"Already registered?","Já está registado?"
"Back","Voltar"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja conseguirá processar a sua encomenda de uma forma mais rápida, armazenar múltiplos endereços, visualizar e seguir o progresso das suas encomendas e muito mais."
"Cannot load configuration from file %s.","Não foi possível carregar a configuração a partir do ficheiro %s."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Marcando a opção ""Lembrar-me"" vai permitir que aceda ao seu carrinho de compras sem que tenha sessão iniciada"
"Checkout as Guest","Finalizar encomenda como convidado"
"Checkout as a Guest","Finalizar como Convidado"
"Checkout as a Guest or Register","Finalizar encomenda como convidado ou registar-se"
"City","Cidade"
"Clear Persistence on Log Out","Limpar Persistência ao Terminar Sessão"
"Close","Fechar"
"Company","Empresa"
"Confirm Password","Confirmar palavra-passe"
"Continue","Continuar"
"Country","País"
"Create an Account","Criar uma nova conta"
"Easy access to your order history and status","Acesso rápido à sua encomenda e histórico"
"Email Address","Endereço Email"
"Enable ""Remember Me""","Ativar ""Lembrar-me"""
"Enable Persistence","Ativar Persistência"
"Fast and easy check out","Finalizar a encomenda com maior rapidez e facilidade"
"Faster checkout","Finalização Rápida"
"Fax","Fax"
"Forgot Your Password?","Esqueceu-se da sua palavra-passe?"
"Forgot your password?","Esqueceu-se da palavra-passe?"
"General Options","Opções Gerais"
"If you have an account with us, please log in.","Se já tem uma conta, por favor inicie sessão"
"Loading next step...","A carregar próximo passo..."
"Login","Iniciar Sessão"
"Login Information","Informação de inicio de sessão"
"Login or Create an Account","Iniciar Sessão ou Criar uma Conta"
"New Customers","Novos Clientes"
"New Here?","Novidade Para Si?"
"Password","Palavra-passe"
"Persist Shopping Cart","Carrinho de Compras Persistente"
"Persistence Lifetime (seconds)","Tempo de Vida Persistência (segundos)"
"Persistent Shopping Cart","Carrinho de Compras Persistente"
"Personal Information","Informação Pessoal"
"Please enter the following information to create your account.","Por favor insira a seguinte informação para criar a sua conta."
"Please log in below:","Por favor inicie sessão abaixo"
"Please select region, state or province","Por favor selecione a região, estado ou província"
"Register","Registar"
"Register and Checkout","Registar e Finalizar Encomenda"
"Register and save time!","Registe-se e torne tudo mais rápido"
"Register to Create an Account","Registe-se para criar uma conta"
"Register with us for future convenience:","Registe-se para futura conveniência"
"Registered Customers","Clientes registados"
"Registration is free and easy!","O registo é fácil e gratuito!"
"Remember Me","Lembrar-me"
"Returning Customers","Clientes Existentes"
"Save in address book","Guardar no Livro de Endereços"
"Save multiple shipping addresses","Guardar Múltiplos endereços de envio"
"Select State/Province...","Selecionar Estado/Região"
"Select a billing address from your address book or enter a new address.","Selecione o endereço de faturação do seu livro de endereços ou insira um novo"
"Ship to different address","Enviar para endereço distinto"
"Ship to this address","Enviar para este endereço"
"Shopping cart has been updated with appropriate prices","O carrinho de compras foi atualizado com os preços apropriados"
"Sign Up for Newsletter","Subscrever a Newsletter"
"Sign in to speed up your checkout process","Inicie sessão para acelerar o processo de compra"
"State/Province","Região"
"Street Address","Rua"
"Street Address %s","Endereço %s"
"Submit","Submeter"
"Telephone","Telefone"
"To proceed to Checkout, please log in using your email address.","Para prosseguir para a finalização da encomenda, inicie sessão utilizando o seu endereço de email."
"VAT Number","Número Fiscal"
"View and track orders and more","Visualizar e monitorizar encomendas e mais."
"Welcome, %s!","Bem-vindo, %s!"
"What's this?","O que é isto?"
"What\'s this?","O que é isto?"
"Zip/Postal Code","Código Postal"